algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Selecao,60000,0,3,1799970000,0,0.470588
Insercao,60000,0,3,59999,119998,0.000025
Countingsort,60000,0,3,0,120000,0.139531
Bucketsort,60000,0,3,60000,240000,0.001384
RadixsortC,60000,0,3,0,1080000,0.001662
RadixsortB,60000,0,3,0,2700000,0.003836
Bolha,60000,1,1,1799970000,5399910000,8.442796
Coquetel,60000,1,1,1799970000,5399910000,8.400104
Selecao,60000,1,1,1799970000,90000,0.470200
Insercao,60000,1,1,1799970000,1800089998,0.342414
Countingsort,60000,1,1,0,120000,0.141159
Bucketsort,60000,1,1,60000,240000,0.001637
RadixsortC,60000,1,1,0,1080000,0.001643
RadixsortB,60000,1,1,0,2700000,0.004084
Bolha,60000,1,2,1799970000,5399910000,7.000677
Coquetel,60000,1,2,1799970000,5399910000,6.995988
Selecao,60000,1,2,1799970000,90000,0.461695
Insercao,60000,1,2,1799970000,1800089998,0.341709
Countingsort,60000,1,2,0,120000,0.142404
Bucketsort,60000,1,2,60000,240000,0.001365
RadixsortC,60000,1,2,0,1080000,0.001380
RadixsortB,60000,1,2,0,2700000,0.003970
Bolha,60000,1,3,1799970000,5399910000,6.996502
Coquetel,60000,1,3,1799970000,5399910000,6.992848
Selecao,60000,1,3,1799970000,90000,0.461596
Insercao,60000,1,3,1799970000,1800089998,0.341612
Countingsort,60000,1,3,0,120000,0.141348
Bucketsort,60000,1,3,60000,240000,0.001368
RadixsortC,60000,1,3,0,1080000,0.001376
RadixsortB,60000,1,3,0,2700000,0.003988
Bolha,60000,2,1,1799896080,2708644476,6.964531
Coquetel,60000,2,1,1352800535,2708644476,5.997196
Selecao,60000,2,1,1799970000,179958,0.486537
Insercao,60000,2,1,902941481,903001490,0.171924
Countingsort,60000,2,1,0,120000,0.141693
Bucketsort,60000,2,1,62764,242764,0.002581
RadixsortC,60000,2,1,0,1080000,0.001686
RadixsortB,60000,2,1,0,2700000,0.004083
Bolha,60000,2,2,1799823930,2696454459,6.933377
Coquetel,60000,2,2,1347280995,2696454459,5.972618
Selecao,60000,2,2,1799970000,179970,0.483773
Insercao,60000,2,2,898878146,898938151,0.171005
Countingsort,60000,2,2,0,120000,0.141942
Bucketsort,60000,2,2,62739,242739,0.002548
RadixsortC,60000,2,2,0,1080000,0.001686
RadixsortB,60000,2,2,0,2700000,0.003841
Bolha,60000,2,3,1799948055,2690179185,6.914826
Coquetel,60000,2,3,1346498330,2690179185,5.959121
Selecao,60000,2,3,1799970000,179958,0.481074
Insercao,60000,2,3,896786382,896846393,0.170715
Countingsort,60000,2,3,0,120000,0.144572
Bucketsort,60000,2,3,62790,242790,0.002602
RadixsortC,60000,2,3,0,1080000,0.001646
RadixsortB,60000,2,3,0,2700000,0.003733
Bolha,70000,0,1,69999,0,0.000042
Coquetel,70000,0,1,69999,0,0.000042
Selecao,70000,0,1,2449965000,0,0.623637
Insercao,70000,0,1,69999,139998,0.000029
Countingsort,70000,0,1,0,140000,0.137575
Bucketsort,70000,0,1,70000,280000,0.001346
RadixsortC,70000,0,1,0,1260000,0.001614
RadixsortB,70000,0,1,0,3150000,0.004562
Bolha,70000,0,2,69999,0,0.000031
Coquetel,70000,0,2,69999,0,0.000033
Selecao,70000,0,2,2449965000,0,0.634933
Insercao,70000,0,2,69999,139998,0.000029
Countingsort,70000,0,2,0,140000,0.138935
Bucketsort,70000,0,2,70000,280000,0.001339
RadixsortC,70000,0,2,0,1260000,0.001618
RadixsortB,70000,0,2,0,3150000,0.005688
Bolha,70000,0,3,69999,0,0.000027
Coquetel,70000,0,3,69999,0,0.000027
Selecao,70000,0,3,2449965000,0,0.624528
Insercao,70000,0,3,69999,139998,0.000029
Countingsort,70000,0,3,0,140000,0.136896
Bucketsort,70000,0,3,70000,280000,0.001333
RadixsortC,70000,0,3,0,1260000,0.001616
RadixsortB,70000,0,3,0,3150000,0.004754
Bolha,70000,1,1,2449965000,7349895000,9.537214
Coquetel,70000,1,1,2449965000,7349895000,9.541959
Selecao,70000,1,1,2449965000,105000,0.627502
Insercao,70000,1,1,2449965000,2450104998,0.465129
Countingsort,70000,1,1,0,140000,0.141312
Bucketsort,70000,1,1,70000,280000,0.001593
RadixsortC,70000,1,1,0,1260000,0.001628
RadixsortB,70000,1,1,0,3150000,0.004905
Bolha,70000,1,2,2449965000,7349895000,9.521148
Coquetel,70000,1,2,2449965000,7349895000,10.504510
Selecao,70000,1,2,2449965000,105000,0.628760
Insercao,70000,1,2,2449965000,2450104998,0.465468
Countingsort,70000,1,2,0,140000,0.138530
Bucketsort,70000,1,2,70000,280000,0.001597
RadixsortC,70000,1,2,0,1260000,0.001620
RadixsortB,70000,1,2,0,3150000,0.004964
Bolha,70000,1,3,2449965000,7349895000,11.439189
Coquetel,70000,1,3,2449965000,7349895000,11.431772
Selecao,70000,1,3,2449965000,105000,0.642284
Insercao,70000,1,3,2449965000,2450104998,0.465605
Countingsort,70000,1,3,0,140000,0.139670
Bucketsort,70000,1,3,70000,280000,0.001908
RadixsortC,70000,1,3,0,1260000,0.001937
RadixsortB,70000,1,3,0,3150000,0.005259
Bolha,70000,2,1,2449882785,3665533098,9.521744
Coquetel,70000,2,1,1835380730,3665533098,8.167042
Selecao,70000,2,1,2449965000,209973,0.660116
Insercao,70000,2,1,1221914354,1221984364,0.232301
Countingsort,70000,2,1,0,140000,0.141229
Bucketsort,70000,2,1,73246,283246,0.003043
RadixsortC,70000,2,1,0,1260000,0.002105
RadixsortB,70000,2,1,0,3150000,0.004865
Bolha,70000,2,2,2449807359,3676996743,7.912704
Coquetel,70000,2,2,1836256905,3676996743,6.773176
Selecao,70000,2,2,2449965000,209958,0.647339
Insercao,70000,2,2,1225735568,1225805579,0.232996
Countingsort,70000,2,2,0,140000,0.141069
Bucketsort,70000,2,2,73282,283282,0.002557
RadixsortC,70000,2,2,0,1260000,0.001601
RadixsortB,70000,2,2,0,3150000,0.004729
Bolha,70000,2,3,2449820547,3668436042,7.893848
Coquetel,70000,2,3,1839580670,3668436042,6.776813
Selecao,70000,2,3,2449965000,209964,0.648147
Insercao,70000,2,3,1222882000,1222952012,0.232481
Countingsort,70000,2,3,0,140000,0.140397
Bucketsort,70000,2,3,73349,283349,0.002557
RadixsortC,70000,2,3,0,1260000,0.001599
RadixsortB,70000,2,3,0,3150000,0.004599
Bolha,80000,0,1,79999,0,0.000030
Coquetel,80000,0,1,79999,0,0.000030
Selecao,80000,0,1,3199960000,0,0.815471
Insercao,80000,0,1,79999,159998,0.000032
Countingsort,80000,0,1,0,160000,0.135532
Bucketsort,80000,0,1,80000,320000,0.001373
RadixsortC,80000,0,1,0,1440000,0.001862
RadixsortB,80000,0,1,0,3600000,0.005662
Bolha,80000,0,2,79999,0,0.000032
Coquetel,80000,0,2,79999,0,0.000031
Selecao,80000,0,2,3199960000,0,0.819165
Insercao,80000,0,2,79999,159998,0.000032
Countingsort,80000,0,2,0,160000,0.134490
Bucketsort,80000,0,2,80000,320000,0.001188
RadixsortC,80000,0,2,0,1440000,0.001861
RadixsortB,80000,0,2,0,3600000,0.005610
Bolha,80000,0,3,79999,0,0.000031
Coquetel,80000,0,3,79999,0,0.000031
Selecao,80000,0,3,3199960000,0,0.817108
Insercao,80000,0,3,79999,159998,0.000032
Countingsort,80000,0,3,0,160000,0.135207
Bucketsort,80000,0,3,80000,320000,0.001188
RadixsortC,80000,0,3,0,1440000,0.001853
RadixsortB,80000,0,3,0,3600000,0.005656
Bolha,80000,1,1,3199960000,9599880000,12.438332
Coquetel,80000,1,1,3199960000,9599880000,12.438216
Selecao,80000,1,1,3199960000,120000,0.821016
Insercao,80000,1,1,3199960000,3200119998,0.607089
Countingsort,80000,1,1,0,160000,0.136864
Bucketsort,80000,1,1,80000,320000,0.001476
RadixsortC,80000,1,1,0,1440000,0.001858
RadixsortB,80000,1,1,0,3600000,0.005985
Bolha,80000,1,2,3199960000,9599880000,12.427339
Coquetel,80000,1,2,3199960000,9599880000,12.428522
Selecao,80000,1,2,3199960000,120000,0.822524
Insercao,80000,1,2,3199960000,3200119998,0.607099
Countingsort,80000,1,2,0,160000,0.137255
Bucketsort,80000,1,2,80000,320000,0.001476
RadixsortC,80000,1,2,0,1440000,0.001855
RadixsortB,80000,1,2,0,3600000,0.006001
Bolha,80000,1,3,3199960000,9599880000,12.449571
Coquetel,80000,1,3,3199960000,9599880000,12.438320
Selecao,80000,1,3,3199960000,120000,0.820119
Insercao,80000,1,3,3199960000,3200119998,0.607047
Countingsort,80000,1,3,0,160000,0.137263
Bucketsort,80000,1,3,80000,320000,0.001474
RadixsortC,80000,1,3,0,1440000,0.001865
RadixsortB,80000,1,3,0,3600000,0.005977
Bolha,80000,2,1,3199888747,4813531764,10.410362
Coquetel,80000,2,1,2409153435,4813531764,8.931908
