algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Quicksort,12,2,4,29,75,0.000001
Insercao,12,2,5,33,44,0.000000
Quicksort,12,2,5,29,75,0.000001
Insercao,12,2,6,33,44,0.000000
Quicksort,12,2,6,29,75,0.000001
Insercao,12,2,7,33,44,0.000000
Quicksort,12,2,7,29,75,0.000000
Insercao,12,2,8,33,44,0.000000
Quicksort,12,2,8,29,75,0.000000
Insercao,12,2,9,33,44,0.000000
Quicksort,12,2,9,29,75,0.000000
Insercao,12,2,10,33,44,0.000000
Quicksort,12,2,10,29,75,0.000001
Insercao,13,2,1,44,56,0.000000
Quicksort,13,2,1,41,90,0.000001
Insercao,13,2,2,44,56,0.000000
Quicksort,13,2,2,41,90,0.000001
Insercao,13,2,3,44,56,0.000000
Quicksort,13,2,3,41,90,0.000001
Insercao,13,2,4,44,56,0.000000
Quicksort,13,2,4,41,90,0.000001
Insercao,13,2,5,44,56,0.000000
Quicksort,13,2,5,41,90,0.000001
Insercao,13,2,6,44,56,0.000000
Quicksort,13,2,6,41,90,0.000001
Insercao,13,2,7,44,56,0.000000
Quicksort,13,2,7,41,90,0.000001
Insercao,13,2,8,44,56,0.000000
Quicksort,13,2,8,41,90,0.000001
Insercao,13,2,9,44,56,0.000000
Quicksort,13,2,9,41,90,0.000001
Insercao,13,2,10,44,56,0.000000
Quicksort,13,2,10,41,90,0.000001
Insercao,14,2,1,45,58,0.000000
Quicksort,14,2,1,39,132,0.000001
Insercao,14,2,2,45,58,0.000000
Quicksort,14,2,2,39,132,0.000001
Insercao,14,2,3,45,58,0.000000
Quicksort,14,2,3,39,132,0.000001
Insercao,14,2,4,45,58,0.000000
Quicksort,14,2,4,39,132,0.000001
Insercao,14,2,5,45,58,0.000000
Quicksort,14,2,5,39,132,0.000001
Insercao,14,2,6,45,58,0.000000
Quicksort,14,2,6,39,132,0.000001
Insercao,14,2,7,45,58,0.000000
Quicksort,14,2,7,39,132,0.000001
Insercao,14,2,8,45,58,0.000000
Quicksort,14,2,8,39,132,0.000001
Insercao,14,2,9,45,58,0.000000
Quicksort,14,2,9,39,132,0.000001
Insercao,14,2,10,45,58,0.000000
Quicksort,14,2,10,39,132,0.000001
Insercao,15,2,1,58,72,0.000000
Quicksort,15,2,1,45,105,0.000001
Insercao,15,2,2,58,72,0.000000
Quicksort,15,2,2,45,105,0.000001
Insercao,15,2,3,58,72,0.000000
Quicksort,15,2,3,45,105,0.000001
Insercao,15,2,4,58,72,0.000000
Quicksort,15,2,4,45,105,0.000001
Insercao,15,2,5,58,72,0.000000
Quicksort,15,2,5,45,105,0.000001
Insercao,15,2,6,58,72,0.000000
Quicksort,15,2,6,45,105,0.000001
Insercao,15,2,7,58,72,0.000000
Quicksort,15,2,7,45,105,0.000001
Insercao,15,2,8,58,72,0.000000
Quicksort,15,2,8,45,105,0.000001
Insercao,15,2,9,58,72,0.000000
Quicksort,15,2,9,45,105,0.000001
Insercao,15,2,10,58,72,0.000000
Quicksort,15,2,10,45,105,0.000001
Insercao,16,2,1,71,86,0.000000
Quicksort,16,2,1,48,144,0.000001
Insercao,16,2,2,71,86,0.000001
Quicksort,16,2,2,48,144,0.000001
Insercao,16,2,3,71,86,0.000000
Quicksort,16,2,3,48,144,0.000001
Insercao,16,2,4,71,86,0.000000
Quicksort,16,2,4,48,144,0.000001
Insercao,16,2,5,71,86,0.000000
Quicksort,16,2,5,48,144,0.000001
Insercao,16,2,6,71,86,0.000000
Quicksort,16,2,6,48,144,0.000001
Insercao,16,2,7,71,86,0.000000
Quicksort,16,2,7,48,144,0.000001
Insercao,16,2,8,71,86,0.000000
Quicksort,16,2,8,48,144,0.000001
Insercao,16,2,9,71,86,0.000000
Quicksort,16,2,9,48,144,0.000001
Insercao,16,2,10,71,86,0.000000
Quicksort,16,2,10,48,144,0.000001
Insercao,17,2,1,87,104,0.000000
Quicksort,17,2,1,57,156,0.000001
Insercao,17,2,2,87,104,0.000000
Quicksort,17,2,2,57,156,0.000001
Insercao,17,2,3,87,104,0.000000
Quicksort,17,2,3,57,156,0.000001
Insercao,17,2,4,87,104,0.000000
Quicksort,17,2,4,57,156,0.000001
Insercao,17,2,5,87,104,0.000000
Quicksort,17,2,5,57,156,0.000001
Insercao,17,2,6,87,104,0.000000
Quicksort,17,2,6,57,156,0.000001
Insercao,17,2,7,87,104,0.000000
Quicksort,17,2,7,57,156,0.000001
Insercao,17,2,8,87,104,0.000000
Quicksort,17,2,8,57,156,0.000001
Insercao,17,2,9,87,104,0.000000
Quicksort,17,2,9,57,156,0.000001
Insercao,17,2,10,87,104,0.000000
Quicksort,17,2,10,57,156,0.000001
Insercao,18,2,1,99,117,0.000000
Quicksort,18,2,1,73,219,0.000001
Insercao,18,2,2,99,117,0.000000
Quicksort,18,2,2,73,219,0.000001
Insercao,18,2,3,99,117,0.000000
Quicksort,18,2,3,73,219,0.000001
Insercao,18,2,4,99,117,0.000000
Quicksort,18,2,4,73,219,0.000001
Insercao,18,2,5,99,117,0.000000
Quicksort,18,2,5,73,219,0.000001
Insercao,18,2,6,99,117,0.000000
Quicksort,18,2,6,73,219,0.000001
Insercao,18,2,7,99,117,0.000000
Quicksort,18,2,7,73,219,0.000001
Insercao,18,2,8,99,117,0.000000
Quicksort,18,2,8,73,219,0.000001
Insercao,18,2,9,99,117,0.000000
Quicksort,18,2,9,73,219,0.000001
Insercao,18,2,10,99,117,0.000000
Quicksort,18,2,10,73,219,0.000001
Insercao,19,2,1,110,129,0.000000
Quicksort,19,2,1,65,183,0.000001
Insercao,19,2,2,110,129,0.000000
Quicksort,19,2,2,65,183,0.000001
Insercao,19,2,3,110,129,0.000000
Quicksort,19,2,3,65,183,0.000001
Insercao,19,2,4,110,129,0.000000
Quicksort,19,2,4,65,183,0.000001
Insercao,19,2,5,110,129,0.000000
Quicksort,19,2,5,65,183,0.000001
Insercao,19,2,6,110,129,0.000000
Quicksort,19,2,6,65,183,0.000001
Insercao,19,2,7,110,129,0.000000
Quicksort,19,2,7,65,183,0.000001
Insercao,19,2,8,110,129,0.000000
Quicksort,19,2,8,65,183,0.000001
Insercao,19,2,9,110,129,0.000000
Quicksort,19,2,9,65,183,0.000001
Insercao,19,2,10,110,129,0.000000
Quicksort,19,2,10,65,183,0.000001
Insercao,20,2,1,92,112,0.000000
Quicksort,20,2,1,61,141,0.000001
Insercao,20,2,2,92,112,0.000000
Quicksort,20,2,2,61,141,0.000001
Insercao,20,2,3,92,112,0.000000
Quicksort,20,2,3,61,141,0.000001
Insercao,20,2,4,92,112,0.000000
Quicksort,20,2,4,61,141,0.000001
Insercao,20,2,5,92,112,0.000000
Quicksort,20,2,5,61,141,0.000001
Insercao,20,2,6,92,112,0.000000
Quicksort,20,2,6,61,141,0.000001
Insercao,20,2,7,92,112,0.000000
Quicksort,20,2,7,61,141,0.000001
Insercao,20,2,8,92,112,0.000000
Quicksort,20,2,8,61,141,0.000001
Insercao,20,2,9,92,112,0.000000
Quicksort,20,2,9,61,141,0.000001
Insercao,20,2,10,92,112,0.000000
Quicksort,20,2,10,61,141,0.000001
Insercao,21,2,1,100,121,0.000000
Quicksort,21,2,1,72,192,0.000001
Insercao,21,2,2,100,121,0.000000
Quicksort,21,2,2,72,192,0.000001
Insercao,21,2,3,100,121,0.000000
Quicksort,21,2,3,72,192,0.000001
Insercao,21,2,4,100,121,0.000000
Quicksort,21,2,4,72,192,0.000001
