algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
RadixsortB,20000,1,1,0,900000,0.001452
Bolha,20000,1,2,199990000,599970000,0.953943
Coquetel,20000,1,2,199990000,599970000,0.953484
Selecao,20000,1,2,199990000,30000,0.054200
Insercao,20000,1,2,199990000,200029998,0.038463
Shellsort,20000,1,2,282063,499854,0.000221
Mergesort,20000,1,2,148016,574464,0.000208
Heapsort,20000,1,2,258972,354330,0.000624
Quicksort,20000,1,2,358089,583923,0.000451
QuicksortI,20000,1,2,360578,562850,0.000293
Introsort,20000,1,2,277636,102754,0.000090
Countingsort,20000,1,2,0,40000,0.151542
Bucketsort,20000,1,2,20000,80000,0.000528
RadixsortC,20000,1,2,0,360000,0.000556
RadixsortB,20000,1,2,0,900000,0.001240
Bolha,20000,1,3,199990000,599970000,0.950220
Coquetel,20000,1,3,199990000,599970000,0.952999
Selecao,20000,1,3,199990000,30000,0.053880
Insercao,20000,1,3,199990000,200029998,0.038385
Shellsort,20000,1,3,282063,499854,0.000215
Mergesort,20000,1,3,148016,574464,0.000198
Heapsort,20000,1,3,258972,354330,0.000612
Quicksort,20000,1,3,339702,557310,0.000527
QuicksortI,20000,1,3,370681,555421,0.000287
Introsort,20000,1,3,277636,102754,0.000089
Countingsort,20000,1,3,0,40000,0.151437
Bucketsort,20000,1,3,20000,80000,0.000514
RadixsortC,20000,1,3,0,360000,0.000563
RadixsortB,20000,1,3,0,900000,0.001242
Bolha,20000,2,1,199984222,300291321,0.682990
Coquetel,20000,2,1,149463622,300291321,0.589518
Selecao,20000,2,1,199990000,59967,0.053728
Insercao,20000,2,1,100117094,100137105,0.019119
Shellsort,20000,2,1,420812,634883,0.001267
Mergesort,20000,2,1,260723,558925,0.001005
Heapsort,20000,2,1,262277,368304,0.000988
Quicksort,20000,2,1,342446,611028,0.000835
QuicksortI,20000,2,1,361201,565168,0.000688
Introsort,20000,2,1,363280,253958,0.000789
Countingsort,20000,2,1,0,40000,0.150319
Bucketsort,20000,2,1,20975,80975,0.000795
RadixsortC,20000,2,1,0,360000,0.000553
RadixsortB,20000,2,1,0,900000,0.001143
Bolha,20000,2,2,199974247,299871813,0.690660
Coquetel,20000,2,2,150064972,299871813,0.581479
Selecao,20000,2,2,199990000,59949,0.057273
Insercao,20000,2,2,99977267,99997269,0.019437
Shellsort,20000,2,2,422242,636273,0.001246
Mergesort,20000,2,2,260922,559188,0.000992
Heapsort,20000,2,2,262324,368737,0.000985
Quicksort,20000,2,2,324734,580794,0.000959
QuicksortI,20000,2,2,371204,549367,0.000678
Introsort,20000,2,2,380244,250243,0.000768
Countingsort,20000,2,2,0,40000,0.150932
Bucketsort,20000,2,2,20983,80983,0.000792
RadixsortC,20000,2,2,0,360000,0.000552
RadixsortB,20000,2,2,0,900000,0.001162
Bolha,20000,2,3,199988109,301665258,0.690398
Coquetel,20000,2,3,150652789,301665258,0.574590
Selecao,20000,2,3,199990000,59976,0.053630
Insercao,20000,2,3,100575069,100595084,0.019220
Shellsort,20000,2,3,421002,635156,0.001260
Mergesort,20000,2,3,260933,558961,0.000999
Heapsort,20000,2,3,262384,368355,0.000985
Quicksort,20000,2,3,336509,549465,0.000850
QuicksortI,20000,2,3,353928,517332,0.000710
Introsort,20000,2,3,384862,252826,0.000768
Countingsort,20000,2,3,0,40000,0.151010
Bucketsort,20000,2,3,20882,80882,0.000782
RadixsortC,20000,2,3,0,360000,0.000549
RadixsortB,20000,2,3,0,900000,0.001152
Bolha,25000,0,1,24999,0,0.000015
Coquetel,25000,0,1,24999,0,0.000015
Selecao,25000,0,1,312487500,0,0.083370
Insercao,25000,0,1,24999,49998,0.000011
Shellsort,25000,0,1,264285,528570,0.000170
Mergesort,25000,0,1,178756,545988,0.000219
Heapsort,25000,0,1,341233,486450,0.000769
Quicksort,25000,0,1,428921,746364,0.000509
QuicksortI,25000,0,1,388918,630297,0.000252
Introsort,25000,0,1,332584,87704,0.000117
Countingsort,25000,0,1,0,50000,0.149553
Bucketsort,25000,0,1,25000,100000,0.000569
