algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
RadixsortC,500000,2,1,0,9000000,0.011757
RadixsortB,500000,2,1,0,22500000,0.054753
Countingsort,500000,2,2,0,1000000,0.138239
Bucketsort,500000,2,2,523455,2023455,0.026657
RadixsortC,500000,2,2,0,9000000,0.011739
RadixsortB,500000,2,2,0,22500000,0.052884
Countingsort,500000,2,3,0,1000000,0.138821
Bucketsort,500000,2,3,523455,2023455,0.026799
RadixsortC,500000,2,3,0,9000000,0.011764
RadixsortB,500000,2,3,0,22500000,0.052994
Countingsort,600000,0,1,0,1200000,0.134207
Bucketsort,600000,0,1,600000,2400000,0.011788
RadixsortC,600000,0,1,0,10800000,0.014100
RadixsortB,600000,0,1,0,27000000,0.065954
Countingsort,600000,0,2,0,1200000,0.136620
Bucketsort,600000,0,2,600000,2400000,0.011780
RadixsortC,600000,0,2,0,10800000,0.014132
RadixsortB,600000,0,2,0,27000000,0.066730
Countingsort,600000,0,3,0,1200000,0.135635
Bucketsort,600000,0,3,600000,2400000,0.013559
RadixsortC,600000,0,3,0,10800000,0.015150
RadixsortB,600000,0,3,0,27000000,0.054808
Countingsort,600000,1,1,0,1200000,0.132961
Bucketsort,600000,1,1,600000,2400000,0.016352
RadixsortC,600000,1,1,0,10800000,0.015223
RadixsortB,600000,1,1,0,27000000,0.057803
Countingsort,600000,1,2,0,1200000,0.137243
Bucketsort,600000,1,2,600000,2400000,0.015293
RadixsortC,600000,1,2,0,10800000,0.014168
RadixsortB,600000,1,2,0,27000000,0.057093
Countingsort,600000,1,3,0,1200000,0.133274
Bucketsort,600000,1,3,600000,2400000,0.016222
RadixsortC,600000,1,3,0,10800000,0.015299
RadixsortB,600000,1,3,0,27000000,0.057932
Countingsort,600000,2,1,0,1200000,0.140465
Bucketsort,600000,2,1,627678,2427678,0.036008
RadixsortC,600000,2,1,0,10800000,0.014237
RadixsortB,600000,2,1,0,27000000,0.068220
Countingsort,600000,2,2,0,1200000,0.132627
Bucketsort,600000,2,2,627860,2427860,0.036059
RadixsortC,600000,2,2,0,10800000,0.015304
RadixsortB,600000,2,2,0,27000000,0.054327
Countingsort,600000,2,3,0,1200000,0.140316
Bucketsort,600000,2,3,628346,2428346,0.033373
RadixsortC,600000,2,3,0,10800000,0.014122
RadixsortB,600000,2,3,0,27000000,0.066692
Countingsort,700000,0,1,0,1400000,0.131280
Bucketsort,700000,0,1,700000,2800000,0.015750
RadixsortC,700000,0,1,0,12600000,0.017592
RadixsortB,700000,0,1,0,31500000,0.067866
Countingsort,700000,0,2,0,1400000,0.131207
Bucketsort,700000,0,2,700000,2800000,0.013669
RadixsortC,700000,0,2,0,12600000,0.016505
RadixsortB,700000,0,2,0,31500000,0.068921
Countingsort,700000,0,3,0,1400000,0.134893
Bucketsort,700000,0,3,700000,2800000,0.014007
RadixsortC,700000,0,3,0,12600000,0.016463
RadixsortB,700000,0,3,0,31500000,0.069035
Countingsort,700000,1,1,0,1400000,0.139887
Bucketsort,700000,1,1,700000,2800000,0.018287
RadixsortC,700000,1,1,0,12600000,0.016679
RadixsortB,700000,1,1,0,31500000,0.091169
Countingsort,700000,1,2,0,1400000,0.140103
Bucketsort,700000,1,2,700000,2800000,0.018256
RadixsortC,700000,1,2,0,12600000,0.016698
RadixsortB,700000,1,2,0,31500000,0.090580
Countingsort,700000,1,3,0,1400000,0.135602
Bucketsort,700000,1,3,700000,2800000,0.019727
RadixsortC,700000,1,3,0,12600000,0.017831
RadixsortB,700000,1,3,0,31500000,0.077066
Countingsort,700000,2,1,0,1400000,0.136221
Bucketsort,700000,2,1,732565,2832565,0.047583
RadixsortC,700000,2,1,0,12600000,0.017737
RadixsortB,700000,2,1,0,31500000,0.072772
Countingsort,700000,2,2,0,1400000,0.136876
Bucketsort,700000,2,2,732088,2832088,0.046231
RadixsortC,700000,2,2,0,12600000,0.018056
RadixsortB,700000,2,2,0,31500000,0.071774
Countingsort,700000,2,3,0,1400000,0.148790
Bucketsort,700000,2,3,732088,2832088,0.046627
RadixsortC,700000,2,3,0,12600000,0.017808
RadixsortB,700000,2,3,0,31500000,0.072416
Countingsort,800000,0,1,0,1600000,0.136122
Bucketsort,800000,0,1,800000,3200000,0.018425
RadixsortC,800000,0,1,0,14400000,0.019967
RadixsortB,800000,0,1,0,36000000,0.085421
Countingsort,800000,0,2,0,1600000,0.137938
Bucketsort,800000,0,2,800000,3200000,0.015482
RadixsortC,800000,0,2,0,14400000,0.018731
RadixsortB,800000,0,2,0,36000000,0.089998
Countingsort,800000,0,3,0,1600000,0.133964
Bucketsort,800000,0,3,800000,3200000,0.016187
RadixsortC,800000,0,3,0,14400000,0.019286
RadixsortB,800000,0,3,0,36000000,0.089331
Countingsort,800000,1,1,0,1600000,0.139597
Bucketsort,800000,1,1,800000,3200000,0.020903
RadixsortC,800000,1,1,0,14400000,0.018937
RadixsortB,800000,1,1,0,36000000,0.091644
Countingsort,800000,1,2,0,1600000,0.134317
Bucketsort,800000,1,2,800000,3200000,0.022475
RadixsortC,800000,1,2,0,14400000,0.019995
RadixsortB,800000,1,2,0,36000000,0.094293
Countingsort,800000,1,3,0,1600000,0.141794
Bucketsort,800000,1,3,800000,3200000,0.023004
RadixsortC,800000,1,3,0,14400000,0.020382
RadixsortB,800000,1,3,0,36000000,0.104110
Countingsort,800000,2,1,0,1600000,0.148289
Bucketsort,800000,2,1,837693,3237693,0.065387
RadixsortC,800000,2,1,0,14400000,0.021135
RadixsortB,800000,2,1,0,36000000,0.124977
Countingsort,800000,2,2,0,1600000,0.136354
Bucketsort,800000,2,2,837437,3237437,0.054718
RadixsortC,800000,2,2,0,14400000,0.019151
RadixsortB,800000,2,2,0,36000000,0.090761
Countingsort,800000,2,3,0,1600000,0.145094
Bucketsort,800000,2,3,837342,3237342,0.050787
RadixsortC,800000,2,3,0,14400000,0.018860
RadixsortB,800000,2,3,0,36000000,0.082653
Countingsort,900000,0,1,0,1800000,0.132882
Bucketsort,900000,0,1,900000,3600000,0.020593
RadixsortC,900000,0,1,0,16200000,0.021383
RadixsortB,900000,0,1,0,40500000,0.129575
Countingsort,900000,0,2,0,1800000,0.133153
Bucketsort,900000,0,2,900000,3600000,0.020800
RadixsortC,900000,0,2,0,16200000,0.022334
RadixsortB,900000,0,2,0,40500000,0.108034
Countingsort,900000,0,3,0,1800000,0.132474
Bucketsort,900000,0,3,900000,3600000,0.020842
RadixsortC,900000,0,3,0,16200000,0.022342
RadixsortB,900000,0,3,0,40500000,0.108553
Countingsort,900000,1,1,0,1800000,0.135817
Bucketsort,900000,1,1,900000,3600000,0.025419
RadixsortC,900000,1,1,0,16200000,0.022282
RadixsortB,900000,1,1,0,40500000,0.112845
Countingsort,900000,1,2,0,1800000,0.134496
Bucketsort,900000,1,2,900000,3600000,0.025410
RadixsortC,900000,1,2,0,16200000,0.022387
RadixsortB,900000,1,2,0,40500000,0.119089
Countingsort,900000,1,3,0,1800000,0.134424
Bucketsort,900000,1,3,900000,3600000,0.025437
RadixsortC,900000,1,3,0,16200000,0.022317
RadixsortB,900000,1,3,0,40500000,0.113396
Countingsort,900000,2,1,0,1800000,0.137717
Bucketsort,900000,2,1,942156,3642156,0.064533
RadixsortC,900000,2,1,0,16200000,0.022406
RadixsortB,900000,2,1,0,40500000,0.106747
Countingsort,900000,2,2,0,1800000,0.137255
Bucketsort,900000,2,2,941988,3641988,0.064207
RadixsortC,900000,2,2,0,16200000,0.022347
RadixsortB,900000,2,2,0,40500000,0.106208
Countingsort,900000,2,3,0,1800000,0.137546
Bucketsort,900000,2,3,941988,3641988,0.064109
RadixsortC,900000,2,3,0,16200000,0.022289
